Channel ID,Channel Name,Subscribers,Total Views,Total Videos
UCJZ7f6NQzGKZnFXzFW9y9UQ,SHAYTARDS,4720000,2901307331,2878
UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,7430000,663558005,214
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,10900000,879708153,1878
